2018-08-18,我要我滋味09,上蔡,4,剧情跳跃很大，情节很搞笑和看电视剧差不多！
2018-08-18,苦味,义乌,4,不看会遗憾看了发现真不好看
2018-08-18,Mwd387989978,开化,5,一般般期待爱情公寓5
2018-08-18,易先生的七胖,芜湖,4,是十年而已 这是我的十年礼物🎁一张影票
2018-08-18,厌胜°,西安,5,很好看啊，十年情怀
2018-08-18,MhF431194628,如东,5,十年重温，期待爱5
2018-08-18,我妈是我女神丶,济南,3,很遗憾。。。
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,PuV287461799,北京,3,还好吧，挺出乎意料的……
2018-08-18,请叫我菲菲大大,南京,5,好，很好，，，，，，
2018-08-18,我要我滋味09,上蔡,4,剧情跳跃很大，情节很搞笑和看电视剧差不多！
2018-08-18,苦味,义乌,4,不看会遗憾看了发现真不好看
2018-08-18,Mwd387989978,开化,5,一般般期待爱情公寓5
2018-08-18,易先生的七胖,芜湖,4,是十年而已 这是我的十年礼物🎁一张影票
2018-08-18,厌胜°,西安,5,很好看啊，十年情怀
2018-08-18,MhF431194628,如东,5,十年重温，期待爱5
2018-08-18,我妈是我女神丶,济南,3,很遗憾。。。
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,请叫我菲菲大大,南京,5,好，很好，，，，，，
2018-08-18,我要我滋味09,上蔡,4,剧情跳跃很大，情节很搞笑和看电视剧差不多！
2018-08-18,苦味,义乌,4,不看会遗憾看了发现真不好看
2018-08-18,Mwd387989978,开化,5,一般般期待爱情公寓5
2018-08-18,易先生的七胖,芜湖,4,是十年而已 这是我的十年礼物🎁一张影票
2018-08-18,厌胜°,西安,5,很好看啊，十年情怀
2018-08-18,MhF431194628,如东,5,十年重温，期待爱5
2018-08-18,我妈是我女神丶,济南,3,很遗憾。。。
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,我要我滋味09,上蔡,4,剧情跳跃很大，情节很搞笑和看电视剧差不多！
2018-08-18,苦味,义乌,4,不看会遗憾看了发现真不好看
2018-08-18,Mwd387989978,开化,5,一般般期待爱情公寓5
2018-08-18,易先生的七胖,芜湖,4,是十年而已 这是我的十年礼物🎁一张影票
2018-08-18,厌胜°,西安,5,很好看啊，十年情怀
2018-08-18,MhF431194628,如东,5,十年重温，期待爱5
2018-08-18,我妈是我女神丶,济南,3,很遗憾。。。
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
2018-08-18,qzuser,泰州,4,嗯，这个呢，喝水笑呛着算不算。
2018-08-18,潘思佳,嘉善,5,还不错，为了自己的青春
2018-08-18,苦味,义乌,4,不看会遗憾看了发现真不好看
2018-08-18,Mwd387989978,开化,5,一般般期待爱情公寓5
2018-08-18,易先生的七胖,芜湖,4,是十年而已 这是我的十年礼物🎁一张影票
2018-08-18,厌胜°,西安,5,很好看啊，十年情怀
2018-08-18,MhF431194628,如东,5,十年重温，期待爱5
2018-08-18,我妈是我女神丶,济南,3,很遗憾。。。
2018-08-18,丿爷唯享独尊,荆门,5,挺好看的真不错
2018-08-18,lilysan521,烟台,1,太垃圾了。白白期待了这么久
2018-08-18,狄萨disa,吉林,5,很好看的大电影。
2018-08-18,乱心人世,郑州,0.5,差点睡着，和我想象的不太一样
2018-08-18,佛山大众电脑,佛山,3.5,广告太多了。
2018-08-18,wJr293643963,呼伦贝尔,5,挺喜欢的 特效很不错  结局的彩蛋很惊喜
